Num,Date,Time,Tweet
92,11/7/2011,10:22,I did what I had to do to forget.
93,11/7/2011,10:23,It seems it's been my only way since sixth grade
94,11/7/2011,10:24,When the kids called me fat even though I was a double zero
95,11/7/2011,10:24,And I began to watch my weight like it was a MTV show.
96,11/7/2011,10:25,I cried as I remembered how I'd starve for days
97,11/7/2011,10:25,And my parents never noticed
98,11/7/2011,10:26,So I laid there and watched the blood gather on the floor
99,11/7/2011,10:26,Then my weak hands reached for the door
100,11/7/2011,10:27,I ran into my little sister she saw and shook her head.
101,11/7/2011,10:27,Then she looked at me and said. 'Just don't let them see sissy.'
102,11/7/2011,10:27,she kissed my head and walked away
103,11/7/2011,10:28,I swear after that night I was never the same
104,11/7/2011,10:28,My dad became to want 'favors' from me too
105,11/7/2011,10:29,He would use it to bribe me if I wanted to hang out after school
106,11/7/2011,10:30,I didn't know that I should have told somebody what he was doing to me
107,11/7/2011,10:30,Sex just became second nature to me
108,11/7/2011,10:31,My father let me as long as he got details sometimes I'd even have to let him see
109,11/7/2011,10:32,I was just a young girl. Who quickly became afraid of men.
110,11/7/2011,10:32,Then years past and it never stopped.
111,11/7/2011,10:32,Finally on day I began to pop
112,11/7/2011,10:33,I sent a boy away
113,11/7/2011,10:33,And told my father enough was enough
114,11/7/2011,10:33,He cried and said 'I'm just so weak'
115,11/7/2011,10:34,I looked at him and saw the brokenness too
116,11/7/2011,10:34,I took pity on him and became the fool
117,11/7/2011,10:35,Things never changed they just got worse
118,11/7/2011,10:35,Till one day I met a boy who in the end hurt my heart worst
119,11/7/2011,10:36,We met in my typical situation
120,11/7/2011,10:36,We were both undressed within a matter of seconds.
121,11/7/2011,10:37,But I could tell he was different.
122,11/7/2011,10:37,I pledged myself by not hooking up with complete strangers
123,11/7/2011,10:38,But for him I was eager
124,11/7/2011,10:38,But there was something different about this guy
125,11/7/2011,10:39,He returned the favor and actually said goodbye
126,11/7/2011,10:40,On the bus ride home we sat next to each other. Talked for hours on end
127,11/7/2011,10:40,We held each other's hands and told each other our favorite bands
128,11/7/2011,10:41,He looked me dead in the eyes and asked if I would please consider seeing him again
129,11/7/2011,10:42,I went home filled with smiles and cheer
130,11/7/2011,13:01,Annyways. The guy eventually asked me to be his girl
131,11/7/2011,13:02,And things were great for a while
132,11/7/2011,13:04,But my dad got in the way. And ruined everything. One day I just couldn't do it. So I told my boyfriend my secret
133,11/7/2011,13:06,What happened next was a blur. I told him not to tell. We tried to act normal. We had been dating for over a month when I took his virginity
134,11/7/2011,13:07,I fell in love for the first time. But my secret was too much for him. He needed time to think. I thought I was going to lose him.
135,11/7/2011,13:09,A lot happened. But all that matters is that my secret was about to become public. Him & my friends made me tell
136,11/7/2011,,All my efforts to keep a normal life were crumbling right before my eyes.
137,11/7/2011,13:11,I remember telling my closest teacher and CPS and the police and dectectives. I remember having to tell them everything about my dad
138,11/7/2011,13:35,It was my boyfriend who told my mom. And she came to get me.
139,11/7/2011,13:37,Weeks passed then I got the call. They said. 'Sorry but there isn't enough evidence' I hung up.
140,11/7/2011,13:38,That's when I changed. I didn't care anymore. And the people I was meeting gave me no reason to.
141,11/7/2011,13:39,"The guys I've been with, ha none of them care. They just look at me like I'm just some other hoe."
142,11/7/2011,13:40,To that I say. I guess I am . I don't know how else to be. It's not my fault. Somebody else chose that for me.
143,11/7/2011,13:47,Well that's. The story of how I came to be who I am. Well the condensed version. I'd love to hear what you have to say. But I won't be around
144,11/7/2011,14:08,Take two. Hope I get this right.
